report_month	billing_year	billing_month	billing_cycle	billing_day	billing_amount
7/1/2023	2023	6	28	28	257413304.1
7/1/2023	2023	6	29	29	58459244.33
7/1/2023	2023	6	30	30	57011955.88
7/1/2023	2023	6	31	30	32842727.96
7/1/2023	2023	7	1	1	312152632.5
7/1/2023	2023	7	2	2	205923857.3
7/1/2023	2023	7	3	3	208234823
7/1/2023	2023	7	4	4	207830965
7/1/2023	2023	7	5	5	63102768.1
7/1/2023	2023	7	6	6	221819587.8
7/1/2023	2023	7	7	7	210184689
7/1/2023	2023	7	8	8	159165177.9
7/1/2023	2023	7	9	9	213491594.5
7/1/2023	2023	7	10	10	264714978.3
7/1/2023	2023	7	11	11	62083032.39
7/1/2023	2023	7	12	12	234998731.2
7/1/2023	2023	7	13	13	213534503.7
7/1/2023	2023	7	14	14	66629521.08
7/1/2023	2023	7	15	15	241277892.1
7/1/2023	2023	7	16	16	216534053.6
7/1/2023	2023	7	17	17	64545638.48
7/1/2023	2023	7	18	18	231836348.4
7/1/2023	2023	7	19	19	212753215.7
7/1/2023	2023	7	20	20	219645838.8
7/1/2023	2023	7	21	21	213770836.4
7/1/2023	2023	7	22	22	212860782.1
7/1/2023	2023	7	23	23	319940468.5
7/1/2023	2023	7	24	24	63554071.07
7/1/2023	2023	7	25	25	243180120.7
8/1/2023	2023	7	26	26	214090931.5
8/1/2023	2023	7	27	27	67804695
8/1/2023	2023	7	28	28	257272116.9
8/1/2023	2023	7	29	29	58754621.35
8/1/2023	2023	7	30	30	57565898.35
8/1/2023	2023	7	31	31	33468752.35
8/1/2023	2023	8	1	1	324092510.9
8/1/2023	2023	8	2	2	206475273.7
8/1/2023	2023	8	3	3	208326682
8/1/2023	2023	8	4	4	207732884.7
8/1/2023	2023	8	5	5	63303801.43
8/1/2023	2023	8	6	6	221691415.1
8/1/2023	2023	8	7	7	209916939.6
8/1/2023	2023	8	8	8	159232904.1
8/1/2023	2023	8	9	9	213714943
8/1/2023	2023	8	10	10	258875346.3
8/1/2023	2023	8	11	11	62929201.32
8/1/2023	2023	8	12	12	234968874.4
8/1/2023	2023	8	13	13	214041474.1
8/1/2023	2023	8	14	14	67059088.24
8/1/2023	2023	8	15	15	241426107.3
8/1/2023	2023	8	16	16	217243595.8
8/1/2023	2023	8	17	17	65492187.81
8/1/2023	2023	8	18	18	232286127.6
8/1/2023	2023	8	19	19	211826714.2
8/1/2023	2023	8	20	20	219247666.3
8/1/2023	2023	8	21	21	212765958.8
8/1/2023	2023	8	22	22	211993051.8
8/1/2023	2023	8	23	23	319706067.7
8/1/2023	2023	8	24	24	64230453.6
8/1/2023	2023	8	25	25	242448828.2
9/1/2023	2023	8	26	26	212736059.7
9/1/2023	2023	8	27	27	68167638.69
9/1/2023	2023	8	28	28	260273572.5
9/1/2023	2023	8	29	29	59516439.41
9/1/2023	2023	8	30	30	58536624.21
9/1/2023	2023	8	31	31	35133840.27
9/1/2023	2023	9	1	1	324874502.9
